Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",ActivitatsDeFormacio,111,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2021,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",InscripcionsActivitatsFormacio,917,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2021,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",Metres_quadrats,800,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2021,"Centre Cívic l'Elèctric",ActivitatsDeFormacio,42,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2021,"Centre Cívic l'Elèctric",InscripcionsActivitatsFormacio,502,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2021,"Centre Cívic l'Elèctric",Metres_quadrats,566,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2021,"Centre Cívic La Cadena",ActivitatsDeFormacio,80,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2021,"Centre Cívic La Cadena",InscripcionsActivitatsFormacio,593,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2021,"Centre Cívic La Cadena",Metres_quadrats,333,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
2021,"Centre Cívic La Casa Elizalde",ActivitatsDeFormacio,316,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2021,"Centre Cívic La Casa Elizalde",InscripcionsActivitatsFormacio,5495,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2021,"Centre Cívic La Casa Elizalde",Metres_quadrats,1800,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
2021,"Centre Cívic La Sagrera",ActivitatsDeFormacio,80,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2021,"Centre Cívic La Sagrera",InscripcionsActivitatsFormacio,537,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2021,"Centre Cívic La Sagrera",Metres_quadrats,903,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
2021,"Centre Cívic La Sedeta",ActivitatsDeFormacio,502,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2021,"Centre Cívic La Sedeta",InscripcionsActivitatsFormacio,4328,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2021,"Centre Cívic La Sedeta",Metres_quadrats,1287,,,06,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
2021,"Centre Cívic Matas i Ramis",ActivitatsDeFormacio,40,,,07,Horta-Guinardó,43,Horta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2021,"Centre Cívic Matas i Ramis",InscripcionsActivitatsFormacio,427,,,07,Horta-Guinardó,43,Horta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2021,"Centre Cívic Matas i Ramis",Metres_quadrats,637,,,07,Horta-Guinardó,43,Horta,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
2021,"Centre Cívic Navas",ActivitatsDeFormacio,266,,,09,"Sant Andreu",63,Navas,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2021,"Centre Cívic Navas",InscripcionsActivitatsFormacio,1795,,,09,"Sant Andreu",63,Navas,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2021,"Centre Cívic Navas",Metres_quadrats,1200,,,09,"Sant Andreu",63,Navas,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
2021,"Centre Cívic Pati Llimona",ActivitatsDeFormacio,106,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2021,"Centre Cívic Pati Llimona",InscripcionsActivitatsFormacio,704,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2021,"Centre Cívic Pati Llimona",Metres_quadrats,1900,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
2021,"Centre Cívic Pere Pruna",ActivitatsDeFormacio,46,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2021,"Centre Cívic Pere Pruna",InscripcionsActivitatsFormacio,424,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2021,"Centre Cívic Pere Pruna",Metres_quadrats,287,,"Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.",05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
2021,"Centre Cívic Sagrada Família",ActivitatsDeFormacio,181,,,02,Eixample,06,"la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2021,"Centre Cívic Sagrada Família",InscripcionsActivitatsFormacio,1627,,,02,Eixample,06,"la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2021,"Centre Cívic Sagrada Família",Metres_quadrats,1900,,,02,Eixample,06,"la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
2021,"Centre Cívic Sant Andreu",ActivitatsDeFormacio,81,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2021,"Centre Cívic Sant Andreu",InscripcionsActivitatsFormacio,702,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2021,"Centre Cívic Sant Andreu",Metres_quadrats,900,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
2021,"Centre Cívic Sant Martí",ActivitatsDeFormacio,123,,,10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2021,"Centre Cívic Sant Martí",InscripcionsActivitatsFormacio,1037,,,10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2021,"Centre Cívic Sant Martí",Metres_quadrats,5470,,,10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
2021,"Centre Cívic Sarrià",ActivitatsDeFormacio,107,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2021,"Centre Cívic Sarrià",InscripcionsActivitatsFormacio,910,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2021,"Centre Cívic Sarrià",Metres_quadrats,1011,,"El 28 de gener de 1983 s'inaugura com a centre cívic. Per problemes estructurals es manté tancat entre 1984 i 1986. El 4 de setembre de 1986 s'inaugura definitivament.",05,"Sarrià-Sant Gervasi",23,Sarrià,Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
2021,"Centre Cívic Teixonera",ActivitatsDeFormacio,70,,,07,Horta-Guinardó,38,"la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2021,"Centre Cívic Teixonera",InscripcionsActivitatsFormacio,503,,,07,Horta-Guinardó,38,"la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2021,"Centre Cívic Teixonera",Metres_quadrats,841,,,07,Horta-Guinardó,38,"la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
2021,"Centre Cívic Tomasa Cuevas - Les Corts",ActivitatsDeFormacio,85,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
2021,"Centre Cívic Tomasa Cuevas - Les Corts",InscripcionsActivitatsFormacio,611,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
2021,"Centre Cívic Tomasa Cuevas - Les Corts",Metres_quadrats,1603,,,04,"Les Corts",19,"les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
2021,"Centre Cívic Torre Llobeta",ActivitatsDeFormacio,129,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2021,"Centre Cívic Torre Llobeta",InscripcionsActivitatsFormacio,1010,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2021,"Centre Cívic Torre Llobeta",Metres_quadrats,738,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
2021,"Centre Cívic Trinitat Vella",ActivitatsDeFormacio,52,,,09,"Sant Andreu",57,"la Trinitat Vella",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
2021,"Centre Cívic Trinitat Vella",InscripcionsActivitatsFormacio,421,,,09,"Sant Andreu",57,"la Trinitat Vella",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
2021,"Centre Cívic Trinitat Vella",Metres_quadrats,750,,,09,"Sant Andreu",57,"la Trinitat Vella",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
2021,"Centre Cívic Urgell",ActivitatsDeFormacio,193,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2021,"Centre Cívic Urgell",InscripcionsActivitatsFormacio,2482,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2021,"Centre Cívic Urgell",Metres_quadrats,953,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
2021,"Centre Cívic Vallvidrera Vázquez Montalbán",ActivitatsDeFormacio,68,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2021,"Centre Cívic Vallvidrera Vázquez Montalbán",InscripcionsActivitatsFormacio,579,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2021,"Centre Cívic Vallvidrera Vázquez Montalbán",Metres_quadrats,618,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
2021,"Centre Cívic Vil·la Florida",ActivitatsDeFormacio,90,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
2021,"Centre Cívic Vil·la Florida",InscripcionsActivitatsFormacio,898,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
2021,"Centre Cívic Vil·la Florida",Metres_quadrats,1574,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
2021,"Centre Cívic Vil·la Urània",ActivitatsDeFormacio,216,,,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2021,"Centre Cívic Vil·la Urània",InscripcionsActivitatsFormacio,1739,,,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2021,"Centre Cívic Vil·la Urània",Metres_quadrats,3415,,,05,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2021,"Centre Cívic Zona Nord",ActivitatsDeFormacio,47,,,08,"Nou Barris",55,"Ciutat Meridiana",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2021,"Centre Cívic Zona Nord",InscripcionsActivitatsFormacio,210,,,08,"Nou Barris",55,"Ciutat Meridiana",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2021,"Centre Cívic Zona Nord",Metres_quadrats,2418,,,08,"Nou Barris",55,"Ciutat Meridiana",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2021,"Centre Cultural Albareda",ActivitatsDeFormacio,97,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
2021,"Centre Cultural Albareda",InscripcionsActivitatsFormacio,1014,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
2021,"Centre Cultural Albareda",Metres_quadrats,1473,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
2021,"Centre Cultural la Farinera del Clot",ActivitatsDeFormacio,75,,,10,"Sant Martí",65,"el Clot",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
2021,"Centre Cultural la Farinera del Clot",InscripcionsActivitatsFormacio,751,,,10,"Sant Martí",65,"el Clot",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
2021,"Centre Cultural la Farinera del Clot",Metres_quadrats,2634,,,10,"Sant Martí",65,"el Clot",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
